Config 1/10: hidden=256, lr=0.001, wd=0.0001, batch=32

Training with: hidden=256, lr=0.001, wd=0.0001, batch=32
Epoch 01 | train loss 0.4411, acc 81.56% | val loss 0.3198, acc 86.79%, F1 0.8814
Epoch 02 | train loss 0.2390, acc 90.14% | val loss 0.2622, acc 88.58%, F1 0.9032
Epoch 03 | train loss 0.2081, acc 91.45% | val loss 0.2464, acc 89.77%, F1 0.9060
Epoch 04 | train loss 0.1896, acc 92.40% | val loss 0.2541, acc 90.37%, F1 0.9154
Epoch 05 | train loss 0.1571, acc 93.61% | val loss 0.2380, acc 91.74%, F1 0.9246
Epoch 06 | train loss 0.1568, acc 93.81% | val loss 0.2547, acc 90.87%, F1 0.9222
Epoch 07 | train loss 0.1543, acc 94.36% | val loss 0.3061, acc 90.28%, F1 0.9123
Epoch 08 | train loss 0.1287, acc 95.15% | val loss 0.2272, acc 91.88%, F1 0.9284
Epoch 09 | train loss 0.1203, acc 95.18% | val loss 0.2277, acc 91.65%, F1 0.9271
Epoch 10 | train loss 0.1384, acc 95.16% | val loss 0.2412, acc 91.83%, F1 0.9262
Epoch 11 | train loss 0.1158, acc 95.46% | val loss 0.2110, acc 92.61%, F1 0.9356
Epoch 12 | train loss 0.1077, acc 95.62% | val loss 0.2355, acc 93.03%, F1 0.9389
Epoch 13 | train loss 0.1034, acc 96.30% | val loss 0.2442, acc 91.70%, F1 0.9246
Epoch 14 | train loss 0.1061, acc 96.26% | val loss 0.2029, acc 93.76%, F1 0.9444
Epoch 15 | train loss 0.0886, acc 96.59% | val loss 0.2533, acc 92.34%, F1 0.9337
Epoch 16 | train loss 0.0950, acc 96.72% | val loss 0.1921, acc 93.85%, F1 0.9450
Epoch 17 | train loss 0.0952, acc 96.34% | val loss 0.2525, acc 92.34%, F1 0.9307
Epoch 18 | train loss 0.0952, acc 96.56% | val loss 0.2581, acc 92.52%, F1 0.9324
Epoch 19 | train loss 0.0782, acc 97.12% | val loss 0.2626, acc 92.39%, F1 0.9314
Epoch 20 | train loss 0.0759, acc 97.14% | val loss 0.2077, acc 94.13%, F1 0.9487
Epoch 21 | train loss 0.0580, acc 97.86% | val loss 0.2474, acc 93.12%, F1 0.9380
Epoch 22 | train loss 0.0639, acc 97.64% | val loss 0.2648, acc 92.71%, F1 0.9350
Epoch 23 | train loss 0.1052, acc 96.40% | val loss 0.2750, acc 92.25%, F1 0.9305
